age,gender,cgpa,branch,internships_count,projects_count,coding_skill_score,aptitude_score,communication_skill_score,logical_reasoning_score,mock_interview_score,attendance_percentage,backlogs,placement_status,salary_package_lpa
22,Male,9.81,CSE,4,0,90,74,92,81,98,61.1,0,Placed,18.93
20,Male,7.16,ECE,0,4,63,97,48,96,76,92.6,0,Placed,10.59
24,Female,8.33,ECE,0,2,46,79,81,55,63,97.7,0,Placed,11.75
24,Female,7.66,CIVIL,2,0,55,56,91,52,62,73.8,0,Not Placed,0.0
23,Male,5.27,MBA,3,2,49,45,67,58,94,83.9,2,Not Placed,0.0
21,Female,9.76,MECH,2,4,70,84,76,67,80,88.7,0,Placed,16.67
20,Female,8.96,ECE,4,2,87,89,100,77,60,89.8,0,Placed,17.52
21,Female,5.75,AIML,4,2,83,87,98,92,85,79.2,3,Not Placed,0.0
20,Female,9.91,AIML,3,3,58,82,71,95,100,84.5,0,Placed,16.59
23,Female,8.68,AIML,2,0,77,53,80,48,74,86.3,0,Placed,15.17
23,Female,7.36,CSE,3,4,51,72,50,95,62,64.1,0,Placed,11.83
24,Male,8.06,MBA,2,3,100,83,96,85,80,85.8,0,Placed,15.68
21,Female,5.53,CIVIL,1,2,34,91,89,56,34,80.4,3,Not Placed,0.0
25,Male,7.8,MBA,3,3,81,67,60,46,67,75.1,0,Placed,14.24
24,Male,5.37,CSE,4,3,30,100,63,47,34,70.5,1,Not Placed,0.0
21,Male,7.72,MBA,2,2,74,77,40,76,85,85.5,0,Placed,13.23
24,Female,7.76,MBA,1,4,69,46,55,91,100,66.7,0,Placed,12.55
25,Male,9.37,AIML,4,1,93,50,91,94,54,92.4,0,Placed,18.6
22,Male,8.63,ECE,2,3,40,72,63,51,96,66.9,0,Placed,13.01
22,Male,6.25,AIML,1,0,81,42,49,93,81,90.9,3,Not Placed,0.0
22,Male,9.44,MBA,4,2,36,61,71,67,65,92.7,0,Placed,15.07
22,Male,7.87,ECE,4,1,80,52,67,41,52,97.6,0,Placed,15.08
20,Female,8.03,CIVIL,1,3,50,68,89,87,37,78.5,0,Placed,11.98
22,Female,5.84,MECH,4,2,68,45,72,67,60,62.5,1,Not Placed,0.0
25,Male,9.29,ECE,2,2,73,81,99,64,92,87.1,0,Placed,16.11
23,Female,9.65,CSE,2,3,86,93,77,66,50,71.3,0,Placed,17.57
23,Female,8.87,AIML,4,0,70,78,61,74,79,63.7,0,Placed,16.07
20,Male,9.7,AIML,0,2,68,82,40,54,58,94.2,0,Placed,15.57
22,Female,6.51,MBA,1,2,49,94,74,88,89,65.6,0,Not Placed,0.0
22,Female,9.31,MBA,0,3,51,67,97,87,96,80.3,0,Placed,13.79
22,Male,7.44,MBA,2,1,58,97,84,99,73,91.5,0,Placed,12.15
24,Male,5.82,MBA,4,2,75,54,51,74,31,68.0,2,Not Placed,0.0
21,Female,8.34,AIML,3,2,97,63,95,86,44,95.9,0,Placed,16.5
24,Female,8.42,ECE,3,3,32,82,85,72,68,73.3,0,Placed,12.56
21,Male,6.43,CIVIL,0,2,34,89,64,83,69,75.9,1,Not Placed,0.0
22,Female,5.14,ECE,0,3,85,65,67,81,76,65.3,2,Not Placed,0.0
22,Male,6.0,CSE,0,0,96,40,95,62,81,85.8,2,Not Placed,0.0
24,Female,7.0,AIML,2,3,61,65,56,66,35,79.8,0,Not Placed,0.0
24,Male,5.84,ECE,2,1,70,85,55,77,99,99.0,1,Not Placed,0.0
21,Male,5.97,AIML,4,2,58,70,71,99,77,87.9,3,Not Placed,0.0
23,Female,6.96,CSE,2,0,95,100,98,47,87,90.4,0,Placed,13.27
21,Male,9.81,MECH,4,2,40,62,84,91,32,68.0,0,Placed,15.96
24,Male,8.82,MECH,4,2,88,71,43,77,75,88.5,0,Placed,17.19
25,Female,6.6,MECH,0,3,33,83,86,90,47,82.3,0,Not Placed,0.0
24,Female,9.76,AIML,3,2,83,40,99,43,85,76.2,0,Placed,17.93
25,Male,8.23,ECE,0,0,96,57,80,93,62,91.3,0,Placed,14.52
20,Female,7.28,AIML,2,4,31,56,88,87,46,99.1,0,Not Placed,0.0
24,Male,7.34,CIVIL,1,2,77,85,99,44,61,63.8,0,Placed,12.39
20,Male,7.05,ECE,2,3,97,83,50,55,31,91.6,0,Placed,13.4
23,Male,6.16,CSE,3,1,73,67,59,100,55,96.8,2,Not Placed,0.0
21,Male,6.93,MBA,2,2,91,40,65,57,68,72.6,0,Not Placed,0.0
25,Female,7.64,MECH,3,3,48,90,46,96,92,74.5,0,Placed,12.03
21,Male,7.64,ECE,1,2,73,75,70,84,46,91.8,0,Placed,12.55
20,Female,8.81,ECE,1,4,60,44,46,84,63,98.1,0,Placed,13.95
25,Male,6.79,MECH,4,4,91,44,94,57,48,97.6,0,Placed,13.82
21,Female,8.58,CSE,2,0,44,41,97,47,91,62.2,0,Not Placed,0.0
24,Female,7.89,AIML,4,4,58,50,43,68,61,94.9,0,Placed,13.8
22,Female,9.81,AIML,0,3,96,74,47,60,79,83.5,0,Placed,17.37
20,Male,6.93,MBA,0,4,76,69,90,78,74,76.8,0,Not Placed,0.0
21,Male,9.51,ECE,0,3,36,71,53,93,83,93.8,0,Placed,13.41
20,Male,9.1,MECH,0,2,97,47,96,66,30,92.0,0,Placed,16.2
20,Female,8.19,CIVIL,0,0,30,41,61,86,95,80.4,0,Not Placed,0.0
25,Male,8.27,CSE,2,0,100,75,62,41,69,76.4,0,Placed,15.9
25,Female,5.42,AIML,4,4,51,78,64,43,53,78.9,2,Not Placed,0.0
22,Female,9.75,CSE,4,1,86,64,75,87,81,72.7,0,Placed,18.7
24,Male,5.53,CSE,3,4,87,58,92,51,31,87.2,2,Not Placed,0.0
20,Female,7.82,MBA,0,1,56,90,88,55,90,95.7,0,Not Placed,0.0
21,Female,6.65,CSE,1,4,67,46,65,64,56,70.0,0,Not Placed,0.0
23,Female,7.15,MECH,3,3,42,79,63,62,95,93.0,0,Placed,10.96
20,Male,8.05,MBA,3,3,44,53,57,56,62,74.4,0,Placed,12.54
20,Male,9.54,MECH,2,1,77,43,60,100,63,65.3,0,Placed,16.74
22,Male,7.29,MBA,3,0,44,85,86,100,91,61.6,0,Not Placed,0.0
24,Female,9.94,MECH,1,1,69,72,44,91,61,79.2,0,Placed,16.64
23,Female,7.96,MBA,4,2,59,76,54,81,32,82.7,0,Placed,13.83
25,Male,5.8,MBA,3,0,52,82,70,86,84,60.2,1,Not Placed,0.0
25,Female,5.95,ECE,2,1,38,69,65,90,56,86.1,1,Not Placed,0.0
21,Male,8.58,MECH,0,2,61,86,43,85,37,80.7,0,Placed,13.04
23,Female,5.25,ECE,1,2,64,59,43,40,49,99.9,1,Not Placed,0.0
25,Female,7.4,MBA,0,4,78,53,83,60,81,64.2,0,Not Placed,0.0
21,Female,5.74,AIML,3,1,74,66,89,96,46,88.2,1,Not Placed,0.0
24,Female,7.17,MBA,4,3,45,95,100,75,62,68.7,0,Placed,11.45
21,Male,8.75,AIML,2,4,61,52,58,41,84,68.3,0,Placed,14.46
25,Male,7.29,AIML,1,0,54,46,65,62,100,60.7,0,Not Placed,0.0
22,Female,5.82,AIML,4,3,66,57,89,99,45,60.3,1,Not Placed,0.0
22,Male,6.26,AIML,1,2,66,77,72,79,93,67.5,3,Not Placed,0.0
22,Male,6.84,MECH,2,0,64,91,43,98,69,67.0,0,Not Placed,0.0
25,Female,5.35,CIVIL,2,4,74,78,96,41,87,60.0,2,Not Placed,0.0
22,Male,7.92,MECH,3,2,37,48,86,82,52,88.7,0,Not Placed,0.0
23,Female,8.04,CIVIL,1,2,76,62,77,98,36,80.1,0,Placed,13.42
24,Female,5.31,MECH,3,2,65,70,63,49,88,75.8,1,Not Placed,0.0
21,Female,7.01,AIML,1,3,39,41,70,82,88,64.2,0,Not Placed,0.0
21,Female,7.07,CSE,1,4,30,79,73,48,32,73.4,0,Not Placed,0.0
25,Female,6.67,MBA,0,4,97,77,73,68,59,78.8,0,Placed,11.99
22,Female,7.79,CIVIL,3,3,44,80,41,65,39,99.9,0,Placed,12.22
22,Female,6.73,CSE,1,4,32,78,82,95,42,80.4,0,Not Placed,0.0
20,Male,7.08,AIML,1,2,61,44,47,75,68,60.8,0,Not Placed,0.0
24,Female,8.99,CIVIL,2,2,49,95,88,99,93,68.3,0,Placed,13.99
23,Female,5.81,CSE,0,2,85,62,60,68,54,74.2,2,Not Placed,0.0
21,Male,8.1,MECH,2,4,71,88,51,43,70,78.2,0,Placed,13.86
20,Male,7.53,AIML,3,1,89,98,75,60,69,87.0,0,Placed,14.33
20,Female,6.53,MECH,3,0,85,71,98,72,91,83.6,0,Not Placed,0.0
25,Male,8.64,MECH,1,1,76,92,40,70,69,80.4,0,Placed,14.68
21,Female,7.76,AIML,4,3,53,78,99,94,63,93.5,0,Placed,13.12
25,Female,7.39,CIVIL,2,1,70,55,81,67,32,67.8,0,Not Placed,0.0
23,Male,8.34,MBA,3,1,33,97,78,75,81,63.1,0,Placed,12.72
20,Female,9.01,ECE,1,3,80,94,55,72,75,93.5,0,Placed,15.74
20,Male,9.86,ECE,1,1,30,50,88,43,98,78.5,0,Placed,14.0
24,Female,8.15,MBA,2,0,43,53,45,43,70,82.1,0,Not Placed,0.0
23,Male,9.37,AIML,1,4,39,42,99,72,89,93.5,0,Placed,13.69
20,Female,5.01,ECE,0,3,65,92,72,53,58,97.8,2,Not Placed,0.0
23,Male,7.65,MBA,4,1,71,47,82,87,37,82.1,0,Placed,14.11
21,Male,6.07,CSE,2,2,77,54,52,48,33,92.5,3,Not Placed,0.0
22,Male,5.47,MBA,2,2,47,96,84,63,54,81.8,3,Not Placed,0.0
20,Male,7.66,CIVIL,2,3,89,48,48,64,79,61.3,0,Placed,14.07
24,Female,8.73,MBA,1,2,57,55,74,46,52,98.2,0,Placed,13.58
21,Male,7.06,MECH,1,0,82,65,67,85,54,92.7,0,Not Placed,0.0
23,Male,8.35,MECH,2,1,38,92,73,67,99,90.1,0,Placed,12.16
25,Female,7.45,AIML,2,0,53,71,71,44,50,77.7,0,Not Placed,0.0
21,Female,7.19,MECH,0,0,49,57,94,85,85,97.7,0,Not Placed,0.0
20,Female,6.45,CSE,3,4,98,47,40,52,32,79.6,3,Not Placed,0.0
23,Female,6.91,MBA,0,1,56,78,78,94,50,88.8,0,Not Placed,0.0
22,Male,6.75,CSE,2,3,69,91,64,41,78,64.0,0,Placed,11.15
21,Male,8.23,AIML,1,2,100,92,91,97,75,68.8,0,Placed,15.4
20,Female,5.58,MECH,1,4,83,99,49,94,97,77.0,1,Not Placed,0.0
24,Female,5.46,ECE,2,0,44,71,41,59,60,83.3,3,Not Placed,0.0
25,Female,8.3,MBA,3,2,80,49,43,51,75,92.2,0,Placed,15.25
23,Male,7.73,ECE,4,1,98,51,64,92,73,69.6,0,Placed,15.73
21,Male,7.15,CIVIL,4,0,69,51,55,66,74,91.0,0,Not Placed,0.0
21,Male,5.76,AIML,0,0,98,98,79,46,78,95.6,3,Not Placed,0.0
22,Female,7.06,CIVIL,3,1,72,98,83,73,33,92.7,0,Placed,12.6
22,Female,8.95,ECE,4,3,93,49,44,60,86,84.9,0,Placed,17.49
24,Male,9.45,ECE,3,4,36,73,95,99,85,92.4,0,Placed,14.65
25,Male,8.51,ECE,1,1,31,96,62,57,67,95.1,0,Placed,11.68
24,Female,5.3,CIVIL,1,2,59,69,59,49,35,82.2,1,Not Placed,0.0
20,Female,8.35,AIML,3,2,81,83,42,77,53,92.4,0,Placed,15.27
20,Male,6.2,MBA,2,0,62,70,40,97,81,76.8,3,Not Placed,0.0
24,Female,6.58,MBA,4,4,38,77,85,95,68,80.9,0,Not Placed,0.0
25,Female,5.98,CSE,4,3,40,64,90,78,66,62.1,3,Not Placed,0.0
24,Female,8.88,CSE,1,3,39,63,95,83,63,95.3,0,Placed,12.89
25,Female,8.24,ECE,0,2,83,72,64,60,69,65.6,0,Placed,13.91
25,Male,8.06,AIML,4,3,49,100,55,55,69,71.0,0,Placed,13.46
23,Male,8.34,AIML,1,2,34,48,80,90,66,72.7,0,Not Placed,0.0
25,Female,6.18,MECH,1,4,53,64,44,59,79,64.6,1,Not Placed,0.0
22,Male,7.22,MECH,3,0,61,59,75,89,40,96.9,0,Not Placed,0.0
25,Female,8.17,CIVIL,3,2,60,87,45,93,88,98.8,0,Placed,13.74
25,Female,8.18,MECH,3,4,73,56,51,85,55,94.6,0,Placed,14.52
25,Female,8.96,MBA,0,2,48,91,85,86,89,73.9,0,Placed,13.01
20,Male,6.44,MBA,4,1,53,45,62,79,37,62.2,3,Not Placed,0.0
22,Male,8.85,CIVIL,0,2,41,75,85,63,57,67.3,0,Placed,12.32
22,Female,7.2,CSE,0,4,79,80,77,86,89,90.9,0,Placed,11.71
24,Male,8.35,ECE,3,3,54,59,44,96,39,71.4,0,Placed,13.88
23,Female,7.28,AIML,1,2,80,65,100,60,92,95.7,0,Placed,12.48
25,Female,9.74,CSE,2,0,43,79,41,83,90,93.4,0,Placed,15.09
21,Male,5.9,MBA,1,4,58,89,42,97,55,69.5,3,Not Placed,0.0
23,Female,8.38,CSE,1,3,54,51,80,70,52,87.7,0,Placed,12.87
23,Male,7.88,CIVIL,1,4,88,46,46,98,92,77.7,0,Placed,13.97
22,Male,5.86,ECE,1,2,86,79,65,93,48,68.6,2,Not Placed,0.0
23,Female,5.33,MBA,0,1,41,69,51,89,47,83.6,1,Not Placed,0.0
25,Female,9.0,CIVIL,3,1,79,61,89,49,79,93.5,0,Placed,16.47
25,Male,5.79,CSE,3,0,41,81,99,59,48,97.1,1,Not Placed,0.0
20,Female,5.93,AIML,1,0,77,68,84,53,44,62.3,1,Not Placed,0.0
25,Male,9.89,MECH,2,3,79,61,40,58,45,76.7,0,Placed,17.56
25,Male,8.59,CIVIL,4,1,48,63,40,69,49,84.2,0,Placed,14.56
22,Male,6.25,MBA,1,2,82,42,72,96,48,73.5,2,Not Placed,0.0
25,Female,7.95,CSE,1,4,64,89,93,55,100,72.7,0,Placed,12.69
20,Male,7.67,MECH,2,4,56,80,92,61,48,90.9,0,Placed,12.29
21,Female,9.22,MECH,0,1,96,63,78,93,60,91.3,0,Placed,16.23
22,Female,8.65,CSE,1,1,80,65,99,59,81,89.2,0,Placed,14.95
21,Female,9.16,ECE,2,4,48,44,92,45,77,95.9,0,Placed,14.34
22,Male,6.06,CSE,0,3,72,52,48,84,37,79.8,3,Not Placed,0.0
24,Male,8.2,MBA,0,4,64,76,40,82,79,91.5,0,Placed,12.64
23,Male,5.2,AIML,1,0,44,93,54,72,90,60.4,2,Not Placed,0.0
24,Female,5.34,MBA,0,2,45,61,64,80,37,99.5,1,Not Placed,0.0
25,Female,8.57,MECH,1,1,98,73,83,58,42,96.8,0,Placed,15.82
21,Female,5.12,AIML,1,1,100,78,75,44,48,93.7,2,Not Placed,0.0
25,Female,7.9,CIVIL,3,3,70,42,49,46,79,83.5,0,Placed,13.56
23,Male,9.2,MECH,4,0,83,71,94,73,52,81.8,0,Placed,17.73
22,Female,6.9,ECE,4,4,94,63,89,59,86,66.0,0,Placed,13.92
23,Female,5.22,CSE,3,0,59,48,70,54,59,62.2,2,Not Placed,0.0
20,Male,8.57,CIVIL,1,0,48,42,90,100,58,70.2,0,Not Placed,0.0
23,Male,9.65,MBA,2,3,75,61,59,77,90,66.0,0,Placed,16.76
20,Female,8.59,AIML,0,3,89,63,44,40,64,82.4,0,Placed,14.77
23,Female,7.89,CIVIL,3,4,53,77,67,93,38,73.3,0,Placed,12.8
20,Male,6.15,ECE,3,4,65,49,73,44,54,75.5,2,Not Placed,0.0
21,Female,5.08,CSE,3,2,78,74,78,73,93,61.1,3,Not Placed,0.0
25,Male,8.47,CIVIL,3,0,88,59,77,93,66,81.9,0,Placed,15.95
25,Male,6.16,MBA,4,4,43,80,55,60,67,86.2,1,Not Placed,0.0
24,Female,9.29,AIML,1,3,68,83,54,100,37,73.4,0,Placed,15.32
25,Female,7.33,CIVIL,3,2,37,51,80,53,69,65.3,0,Not Placed,0.0
22,Female,7.65,CSE,3,2,77,87,78,56,52,88.1,0,Placed,13.92
23,Male,8.77,MBA,3,3,98,82,81,100,74,65.2,0,Placed,17.14
24,Male,8.9,CIVIL,2,4,70,51,65,51,30,92.7,0,Placed,15.2
22,Male,8.21,AIML,2,3,64,56,69,66,78,81.8,0,Placed,13.59
22,Male,9.69,CSE,0,4,93,43,41,45,38,69.5,0,Placed,17.0
20,Male,9.91,ECE,1,3,82,81,42,78,69,95.9,0,Placed,17.34
25,Male,9.73,ECE,3,3,83,88,58,87,57,65.7,0,Placed,18.18
21,Male,9.12,MECH,0,1,66,47,95,64,37,84.0,0,Placed,14.44
21,Male,8.53,CIVIL,0,4,81,46,63,66,66,84.7,0,Placed,14.46
24,Female,8.32,AIML,1,0,47,94,42,84,100,61.5,0,Not Placed,0.0
21,Male,5.52,CIVIL,2,1,50,57,79,41,47,84.4,3,Not Placed,0.0
23,Male,6.36,CSE,1,1,71,65,44,61,97,87.8,1,Not Placed,0.0
21,Female,5.03,MECH,0,1,94,70,98,71,73,96.4,3,Not Placed,0.0
24,Male,5.69,AIML,1,1,37,93,71,93,45,88.4,2,Not Placed,0.0
21,Female,7.2,CIVIL,2,0,68,95,100,56,81,79.4,0,Not Placed,0.0
23,Male,5.73,AIML,0,1,90,95,91,100,82,94.1,3,Not Placed,0.0
20,Male,9.51,CSE,1,0,89,92,70,95,47,74.2,0,Placed,16.68
24,Male,9.03,MECH,3,0,98,47,51,76,69,94.2,0,Placed,17.59
20,Male,5.36,AIML,3,1,88,100,82,41,90,93.8,1,Not Placed,0.0
20,Female,6.24,CSE,1,2,39,73,75,92,54,84.1,1,Not Placed,0.0
20,Female,9.1,ECE,1,0,92,85,75,91,64,73.8,0,Placed,16.31
22,Male,9.02,AIML,2,1,99,55,70,94,100,83.6,0,Placed,17.33
25,Male,9.73,MECH,0,3,36,59,72,65,56,96.2,0,Placed,13.75
22,Female,9.99,MBA,1,3,64,49,98,95,39,85.5,0,Placed,16.34
25,Male,9.88,MBA,0,4,71,89,46,72,49,93.6,0,Placed,16.14
20,Female,7.05,AIML,3,0,58,44,98,40,62,73.8,0,Not Placed,0.0
24,Male,6.25,AIML,0,0,56,87,65,79,40,71.7,1,Not Placed,0.0
25,Female,8.79,CSE,4,3,67,50,65,82,98,70.2,0,Placed,16.0
23,Male,6.5,CIVIL,2,0,31,90,59,83,96,79.7,0,Not Placed,0.0
23,Male,9.03,MBA,2,0,54,77,73,75,88,77.3,0,Placed,14.41
21,Female,7.67,CIVIL,0,3,95,78,72,95,95,94.2,0,Placed,13.42
25,Female,8.97,MBA,2,1,67,61,58,78,82,64.5,0,Placed,15.14
24,Male,6.38,AIML,0,3,88,50,56,64,67,82.2,2,Not Placed,0.0
22,Female,7.54,MECH,0,2,36,57,82,52,39,76.1,0,Not Placed,0.0
20,Female,7.82,MECH,3,3,78,57,76,78,35,97.5,0,Placed,14.29
21,Male,9.72,MBA,0,3,97,70,45,75,63,91.5,0,Placed,17.38
23,Female,6.33,MBA,2,1,70,59,98,51,78,77.3,3,Not Placed,0.0
22,Male,9.68,CSE,4,3,80,62,61,60,61,85.6,0,Placed,18.23
22,Female,9.02,AIML,1,3,53,79,77,62,58,89.8,0,Placed,13.94
20,Female,8.65,AIML,2,1,65,92,94,57,94,62.8,0,Placed,14.55
25,Male,8.93,CIVIL,4,3,39,49,56,52,62,86.9,0,Placed,14.48
23,Male,8.03,CSE,2,1,50,56,59,58,46,65.6,0,Not Placed,0.0
24,Male,6.22,ECE,4,2,56,80,81,74,78,67.6,1,Not Placed,0.0
22,Male,5.95,MECH,2,1,84,84,81,85,45,78.4,3,Not Placed,0.0
20,Female,9.33,MECH,1,0,34,47,80,87,36,99.2,0,Not Placed,0.0
24,Male,8.63,AIML,3,0,88,70,65,96,42,98.1,0,Placed,16.3
25,Male,6.07,CSE,3,1,65,88,67,73,33,96.1,3,Not Placed,0.0
23,Female,8.08,ECE,1,3,63,87,89,91,92,61.4,0,Placed,12.91
25,Female,7.24,MECH,2,4,81,96,84,95,98,94.1,0,Placed,12.85
22,Male,5.79,CSE,4,4,35,87,47,40,44,91.0,1,Not Placed,0.0
24,Female,7.66,ECE,0,2,43,92,82,96,34,80.0,0,Not Placed,0.0
24,Female,6.41,MBA,2,2,88,79,46,85,71,73.0,3,Not Placed,0.0
24,Female,5.48,AIML,1,4,86,65,46,61,47,90.2,3,Not Placed,0.0
22,Female,7.33,CIVIL,3,4,66,81,68,67,37,64.3,0,Placed,12.65
22,Female,7.95,MECH,3,1,87,83,42,43,97,86.0,0,Placed,15.25
25,Male,5.23,MECH,2,4,61,89,55,76,55,86.9,3,Not Placed,0.0
21,Male,7.01,ECE,4,0,49,94,52,46,99,82.1,0,Not Placed,0.0
25,Female,6.29,CIVIL,1,2,90,48,89,50,62,95.1,3,Not Placed,0.0
23,Female,5.15,MBA,1,2,86,71,57,51,51,73.2,3,Not Placed,0.0
20,Female,5.63,CSE,4,0,81,62,83,79,98,79.1,1,Not Placed,0.0
24,Female,5.7,AIML,4,2,77,71,52,92,30,90.3,3,Not Placed,0.0
21,Male,5.91,CSE,2,4,40,96,70,78,64,88.7,2,Not Placed,0.0
20,Female,9.02,ECE,2,2,59,75,42,74,85,82.5,0,Placed,14.67
21,Female,7.2,MECH,3,0,89,44,69,73,96,70.9,0,Not Placed,0.0
25,Female,5.74,MBA,3,2,47,94,42,57,32,71.8,3,Not Placed,0.0
22,Male,5.5,MECH,4,4,76,87,65,49,100,89.6,3,Not Placed,0.0
24,Male,6.49,CSE,0,1,41,40,41,99,30,60.2,1,Not Placed,0.0
25,Female,8.99,MBA,0,4,79,89,78,90,71,86.1,0,Placed,14.96
20,Male,6.82,AIML,0,2,69,89,73,93,87,69.9,0,Not Placed,0.0
20,Female,5.8,ECE,1,3,93,70,77,54,93,86.9,3,Not Placed,0.0
20,Male,7.02,AIML,2,2,48,70,52,98,33,67.5,0,Not Placed,0.0
20,Female,7.78,ECE,4,2,56,97,50,65,46,75.1,0,Placed,13.38
20,Female,5.15,AIML,3,0,81,96,76,88,69,90.2,3,Not Placed,0.0
21,Female,8.14,CSE,0,3,36,90,46,90,63,90.2,0,Placed,10.93
25,Male,6.98,CIVIL,3,0,92,48,82,42,85,68.4,0,Not Placed,0.0
24,Female,5.05,MBA,2,0,84,72,66,52,40,75.1,3,Not Placed,0.0
22,Female,8.37,ECE,4,4,60,98,46,73,69,80.1,0,Placed,14.91
22,Male,8.56,CSE,0,1,40,74,47,86,42,83.5,0,Not Placed,0.0
25,Female,8.14,MECH,0,2,46,65,75,56,53,89.7,0,Not Placed,0.0
25,Male,6.71,MECH,4,3,95,41,81,100,63,60.9,0,Placed,13.91
22,Male,7.65,AIML,3,2,96,73,68,40,37,64.6,0,Placed,15.06
22,Male,6.94,MECH,2,0,61,56,60,53,36,66.3,0,Not Placed,0.0
21,Female,8.5,CIVIL,2,1,53,45,65,40,91,67.6,0,Not Placed,0.0
23,Male,7.92,ECE,2,0,42,76,100,63,75,61.2,0,Not Placed,0.0
24,Female,5.41,AIML,3,2,51,70,59,93,100,96.8,3,Not Placed,0.0
20,Male,8.22,ECE,3,4,48,67,68,96,42,66.5,0,Placed,13.23
23,Male,8.44,ECE,0,2,82,60,54,99,31,62.9,0,Placed,14.05
25,Female,6.85,CSE,3,0,68,50,62,50,31,78.9,0,Not Placed,0.0
22,Female,9.38,MECH,1,3,50,80,54,42,58,97.6,0,Placed,14.43
23,Female,9.22,MBA,4,3,45,93,90,52,87,98.6,0,Placed,15.42
24,Male,5.88,ECE,3,3,36,96,49,94,31,87.1,2,Not Placed,0.0
25,Male,9.52,CIVIL,2,3,55,75,41,61,88,67.1,0,Placed,15.6
20,Female,7.2,CIVIL,3,3,60,78,87,80,82,60.2,0,Placed,12.02
20,Female,8.62,MBA,0,1,97,84,91,86,97,73.4,0,Placed,15.41
24,Male,9.07,MECH,4,1,69,87,69,80,90,65.0,0,Placed,16.35
24,Male,7.53,MECH,4,4,56,66,76,98,78,90.2,0,Placed,12.89
22,Female,7.0,AIML,2,3,38,59,66,69,75,98.8,0,Not Placed,0.0
20,Male,9.58,AIML,4,0,45,88,56,64,88,63.3,0,Placed,15.92
25,Female,6.15,AIML,1,0,42,59,42,46,77,75.9,2,Not Placed,0.0
23,Male,6.28,MECH,4,2,89,41,47,64,38,96.1,1,Not Placed,0.0
25,Male,6.81,ECE,2,3,89,76,82,78,47,89.1,0,Placed,12.75
21,Female,9.3,CSE,4,0,38,66,76,64,79,94.8,0,Placed,14.77
21,Male,9.69,MBA,3,4,82,57,88,41,56,96.9,0,Placed,18.04
24,Male,6.1,MBA,0,0,61,52,43,73,61,76.5,3,Not Placed,0.0
22,Female,9.32,MBA,3,4,84,57,63,94,95,87.7,0,Placed,17.18
21,Male,6.29,AIML,1,3,54,99,68,97,95,88.4,2,Not Placed,0.0
20,Male,9.85,CSE,1,2,70,50,47,61,51,85.2,0,Placed,16.41
25,Female,7.99,CIVIL,0,2,55,53,73,93,53,73.0,0,Not Placed,0.0
25,Male,5.04,MECH,0,1,58,83,87,92,42,93.3,2,Not Placed,0.0
24,Male,5.17,CIVIL,0,3,65,43,48,40,44,90.8,1,Not Placed,0.0
23,Male,5.74,AIML,0,0,32,78,97,94,78,77.8,3,Not Placed,0.0
24,Female,5.94,ECE,4,2,88,52,56,57,46,76.8,3,Not Placed,0.0
23,Female,8.84,AIML,3,4,63,58,49,55,68,60.4,0,Placed,15.39
24,Female,6.11,CSE,1,4,35,82,63,95,33,93.7,2,Not Placed,0.0
24,Male,9.85,AIML,4,0,60,99,95,49,86,71.4,0,Placed,17.09
24,Female,8.18,MBA,0,0,61,78,84,70,44,78.8,0,Not Placed,0.0
23,Female,8.46,ECE,2,3,71,98,61,94,72,76.5,0,Placed,14.36
23,Male,6.09,ECE,2,0,86,64,56,87,60,87.1,2,Not Placed,0.0
24,Female,9.46,MECH,3,0,75,54,70,99,35,75.6,0,Placed,17.12
21,Female,8.34,MECH,1,0,85,90,83,52,88,67.2,0,Placed,14.44
22,Female,9.32,MBA,1,2,79,59,100,73,94,94.7,0,Placed,16.25
22,Female,9.78,ECE,3,3,59,56,48,73,59,67.3,0,Placed,16.63
22,Male,5.63,MBA,0,0,65,94,54,81,87,61.1,2,Not Placed,0.0
23,Male,5.48,ECE,0,0,55,40,81,95,85,67.8,1,Not Placed,0.0
23,Male,9.02,CSE,1,4,79,68,90,99,98,78.2,0,Placed,15.5
21,Male,9.33,AIML,1,2,31,83,69,51,65,76.9,0,Placed,13.18
22,Male,7.92,MECH,1,0,36,58,56,76,75,91.9,0,Not Placed,0.0
22,Female,6.83,CSE,0,2,56,69,46,79,30,67.8,0,Not Placed,0.0
24,Male,8.26,AIML,2,3,78,64,85,56,41,91.0,0,Placed,14.51
23,Male,6.53,MECH,3,3,75,67,84,80,96,63.9,0,Not Placed,0.0
22,Female,6.19,MBA,3,1,55,76,65,95,39,78.9,3,Not Placed,0.0
25,Male,7.44,CSE,4,4,94,81,92,93,30,94.6,0,Placed,15.16
21,Female,6.08,CIVIL,4,1,31,97,41,54,48,76.5,2,Not Placed,0.0
25,Female,7.42,CIVIL,2,2,93,50,87,52,84,98.5,0,Placed,13.81
25,Male,9.78,MECH,1,4,93,55,68,85,78,85.2,0,Placed,17.64
21,Male,9.2,CSE,2,0,89,57,88,47,84,90.3,0,Placed,16.9
25,Male,9.71,AIML,4,4,38,80,45,56,97,80.4,0,Placed,15.71
22,Female,9.03,AIML,4,4,44,93,72,50,70,77.2,0,Placed,14.71
23,Male,6.77,CSE,3,3,66,48,77,79,84,63.4,0,Not Placed,0.0
21,Female,9.06,CIVIL,2,1,35,67,40,85,98,64.8,0,Placed,13.45
